url,final_url,status,classification,error
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,200,DETAIL_PAGE_VALID,
https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,,,ERROR,The read operation timed out
https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,,,ERROR,The read operation timed out
https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,200,DETAIL_PAGE_VALID,
https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,200,DETAIL_PAGE_VALID,
